,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
193,Maruti Suzuki Swift VXi,420000,78518,Petrol,Hyderabad,2013
194,Hyundai Creta E Plus 1.6,855000,54104,Petrol,Mumbai,2017
195,Renault Duster 85 PS RXS,899000,55300,Diesel,Bangalore,2018
196,Renault Kwid 1.0 RXT Opt,348000,40397,Petrol,Chennai,2018
197,Mahindra XUV500 W8,811000,87527,Diesel,Mumbai,2015
198,Toyota Glanza V,675000,63000,Petrol,Ahmedabad,2019
199,Maruti Suzuki Swift VDi ABS,567000,83647,Diesel,Pune,2016
200,Isuzu MU-X 4x2,2100000,75592,Diesel,Hyderabad,2018
201,Renault Duster 85 PS RxL,475000,57660,Diesel,Mumbai,2012
202,Honda Amaze 1.2 VX MT,685000,42277,Petrol,Noida,2018
203,Maruti Suzuki S-Presso VXi Plus,525000,2600,Petrol,Ahmedabad,2022
204,Volvo XC90 D5 AWD,2257000,51000,Diesel,Ahmedabad,2014
205,Hyundai Grand i10 Asta 1.2,575000,19630,Petrol,Mumbai,2017
206,Honda City VX,745000,42218,Petrol,Mumbai,2016
207,Toyota Glanza G,708000,69553,Petrol,Chennai,2019
208,Maruti Suzuki Alto K10 VXi,338000,48448,Petrol,Delhi,2017
209,Tata Tiago Revotron XT [2016-2019],484000,60167,Petrol,Delhi,2019
210,Honda City 1.5 V MT,395000,61000,Petrol,Noida,2012
211,Hyundai Grand i10 Sports Edition,434000,26282,Petrol,Pune,2015
212,Mercedes-Benz E-Class E 220 d,6175000,19070,Diesel,Bangalore,2019
213,Audi A4 3.0 TDI quattro,3200000,67262,Diesel,Chennai,2018
214,Maruti Suzuki Ciaz Alpha Hybrid,872000,5814,Petrol,Kolkata,2020
215,Skoda Rapid Ultima Elegance 1.6,650000,76810,Diesel,Kolkata,2017
216,Honda Amaze 1.5 VX i-DTEC,495000,63587,Diesel,Mumbai,2015
217,Kia Seltos GTX Plus AT,1525000,28000,Petrol,Kolkata,2019
218,Honda Amaze 1.5 S i-DTEC,499000,42637,Diesel,Bangalore,2014
219,Maruti Suzuki Wagon R 1.0,432000,52775,Petrol,Pune,2017
220,Maruti Suzuki Ciaz Zeta Hybrid,850000,21809,Petrol,Thane,2019
221,Volkswagen Vento Highline Plus 1.2,725000,45689,Petrol,Mumbai,2016
222,Maruti Suzuki Celerio ZXi [2017-2019],433000,34251,Petrol,Pune,2017
223,Maruti Suzuki Ertiga VXI CNG,720000,55000,CNG,Thane,2016
224,Skoda Rapid Ambition 1.6 TDI,925000,95004,Diesel,Hyderabad,2018
225,Tata Harrier XZ [2019-2020],1695000,20856,Diesel,Bangalore,2019
226,Maruti Suzuki Dzire ZXi Plus,875000,11800,Petrol,Chennai,2020
227,Maruti Suzuki Baleno Delta 1.2,510000,32897,Petrol,Pune,2016
228,Mahindra TUV300 T8,565000,47107,Diesel,Delhi,2016
229,Maruti Suzuki Alto K10 VXi,225000,76614,Petrol,Pune,2011
230,Audi Q3 35 TDI quattro,1999000,32345,Diesel,Kolkata,2018
231,Jaguar XE Portfolio Diesel,3775000,35491,Diesel,Bangalore,2018
232,Toyota Innova Crysta ZX 2.4,3250000,22562,Diesel,Hyderabad,2021
233,Maruti Suzuki Ciaz Delta 1.3,745000,49908,Diesel,Mumbai,2018
234,MINI Cooper JCW Hatchback,4400000,2482,Petrol,Mumbai,2021
235,Jeep Compass Limited Plus 2.0,2300000,9000,Diesel,Ambattur,2020
236,Volkswagen Polo Comfortline 1.2L (P),465000,27700,Petrol,Thane,2015
237,Maruti Suzuki Wagon R LXi,180000,49000,Petrol,Thane,2009
238,Maruti Suzuki Ignis Delta 1.2,453000,12104,Petrol,Kolkata,2018
239,Hyundai Xcent SX 1.2,534000,28646,Petrol,Pune,2016
240,Maruti Suzuki Alto 800 Lxi,205000,35965,Petrol,Kolkata,2014
241,Mercedes-Benz E-Class E350 CDI BlueEfficiency,1550000,64000,Diesel,Hyderabad,2010
242,Maruti Suzuki Baleno Zeta 1.2,735000,5288,Petrol,Thane,2020
243,Volvo S60 Kinetic D4,1790000,90604,Diesel,Hyderabad,2017
244,Maruti Suzuki Estilo VXi ABS,225000,68000,Petrol,Thiruvallur,2011
245,Hyundai i20 Asta (O) 1.2,850000,32243,Petrol,Hyderabad,2020
246,Maruti Suzuki Ciaz Delta 1.4,687000,33823,Petrol,Delhi,2017
247,Maruti Suzuki Swift VXi AMT,538000,25412,Petrol,Kolkata,2018
248,BMW 3 Series Gran Limousine,5750000,22600,Diesel,Chennai,2021
249,Honda City V CVT Petrol,830000,56468,Petrol,Ahmedabad,2017
250,Ford Figo Duratec Petrol EXI,240000,73000,Petrol,Poonamallee,2011
251,Honda City SV,630000,24751,Petrol,Kolkata,2018
252,Audi TT 45 TFSI,4600000,9865,Petrol,Ahmedabad,2016
